  代码  	  名称  	最新价	涨跌额	 涨跌幅 	 买入 	 卖出 	 昨收 	 今开 	 最高 	 最低 	成交量/手	成交额/万
sh600100	同方股份	 7.01 	-0.08 	-0.01128	 7.01 	 7.02 	 7.09 	 7.05 	 7.13 	 7.00 	  62082  	 4382.53 
sh600271	航天信息	16.42 	-0.21 	-0.01263	16.41 	16.42 	16.63 	16.66 	16.75 	16.40 	  66452  	11034.82 
sh600410	华胜天成	13.71 	-0.82 	-0.05643	13.70 	13.71 	14.53 	14.32 	14.41 	13.68 	 660196  	92916.56 
sh600446	金证股份	16.25 	-0.32 	-0.01931	16.23 	16.25 	16.57 	16.50 	16.70 	16.19 	  49977  	 8230.93 
sh600455	博通股份	22.62 	-0.08 	-0.00352	22.62 	22.65 	22.70 	22.70 	22.79 	22.58 	  4552   	 1032.04 
sh600476	湘邮科技	13.55 	 0.05 	 0.0037 	13.54 	13.55 	13.50 	13.64 	13.82 	13.43 	  20261  	 2752.74 
sh600536	中国软件	78.67 	-3.15 	-0.0385 	78.68 	78.70 	81.82 	81.50 	81.80 	78.60 	  95506  	76386.10 
sh600570	恒生电子	102.32	-1.40 	-0.0135 	102.30	102.32	103.72	104.00	105.80	101.88	  65385  	67949.14 
sh600571	 信雅达 	 8.19 	-0.21 	 -0.025 	 8.19 	 8.20 	 8.40 	 8.40 	 8.43 	 8.17 	  33808  	 2797.48 
sh600588	用友网络	36.34 	-1.52 	-0.04015	36.31 	36.34 	37.86 	37.86 	38.18 	36.16 	 133401  	49514.18 
sh600590	泰豪科技	 5.32 	-0.08 	-0.01481	 5.32 	 5.33 	 5.40 	 5.39 	 5.41 	 5.32 	  27891  	 1497.06 
sh600601	方正科技	 3.37 	-0.11 	-0.03161	 3.37 	 3.38 	 3.48 	 3.46 	 3.53 	 3.37 	 144340  	 4939.63 
sh600602	云赛智联	 7.39 	-0.12 	-0.01598	 7.37 	 7.39 	 7.51 	 7.52 	 7.63 	 7.35 	  65847  	 4926.58 
sh600654	 ST中安 	 1.73 	-0.04 	-0.0226 	 1.72 	 1.73 	 1.77 	 1.76 	 1.79 	 1.72 	  25979  	 454.87  
sh600680	*ST上普 	 7.69 	 0.00 	 0.000  	 0.00 	 0.00 	 7.69 	 0.00 	 0.00 	 0.00 	    0    	  0.00   
sh600701	*ST工新 	 1.17 	 0.00 	 0.000  	 0.00 	 0.00 	 1.17 	 0.00 	 0.00 	 0.00 	    0    	  0.00   
sh600718	东软集团	10.70 	-0.09 	-0.00834	10.69 	10.70 	10.79 	10.72 	10.89 	10.70 	  40520  	 4364.15 
sh600728	佳都科技	 9.50 	 0.12 	0.01279 	 9.50 	 9.51 	 9.38 	 9.45 	 9.77 	 9.31 	 434992  	41690.58 
sh600756	浪潮软件	17.88 	-0.75 	-0.04026	17.87 	17.88 	18.63 	18.49 	18.54 	17.88 	  31405  	 5722.01 
sh600764	中国海防	26.71 	-0.12 	-0.00447	26.68 	26.73 	26.83 	26.83 	27.07 	26.61 	  8547   	 2295.05 
sh600797	浙大网新	 8.22 	-0.01 	-0.00122	 8.21 	 8.22 	 8.22 	 8.21 	 8.35 	 8.16 	  59177  	 4890.50 
sh600800	天津磁卡	 4.60 	-0.10 	-0.02128	 4.59 	 4.60 	 4.70 	 4.65 	 4.70 	 4.58 	  23603  	 1094.95 
sh600845	宝信软件	54.29 	-0.62 	-0.01129	54.21 	54.29 	54.91 	55.15 	55.93 	53.61 	  41006  	22451.22 
sh600850	华东电脑	22.32 	-0.40 	-0.01761	22.32 	22.33 	22.72 	22.73 	22.90 	22.28 	  32845  	 7387.64 
sh600855	航天长峰	16.22 	-0.73 	-0.04307	16.22 	16.23 	16.95 	16.51 	16.85 	16.20 	 144102  	23773.74 
sh601313	江南嘉捷	63.24 	 0.00 	 0.000  	 0.00 	 0.00 	63.24 	 0.00 	 0.00 	 0.00 	    0    	  0.00   
sh601360	 三六零 	17.54 	-0.59 	-0.03254	17.54 	17.56 	18.13 	18.00 	18.01 	17.51 	 149467  	26509.65 
sh601519	 大智慧 	 7.07 	-0.03 	-0.00423	 7.06 	 7.07 	 7.10 	 7.10 	 7.19 	 7.04 	  83622  	 5948.20 
sh603019	中科曙光	37.39 	-0.79 	-0.02069	37.39 	37.40 	38.18 	38.30 	38.73 	37.30 	 223569  	85152.71 
