代码	名称	最新价	涨跌额	涨跌幅	买入	卖出	昨收	今开	最高	最低	成交量/手	成交额/万	股吧
sh600100	同方股份	　7.01	-0.08	-1.128%	7.01	7.02	7.09	7.05	7.13	7.00	62,082	4,382.53	股吧
sh600271	航天信息	↑16.42	-0.21	-1.263%	16.41	16.42	16.63	16.66	16.75	16.40	66,452	11,034.82	股吧
sh600410	华胜天成	　13.71	-0.82	-5.643%	13.70	13.71	14.53	14.32	14.41	13.68	660,196	92,916.56	股吧
sh600446	金证股份	　16.25	-0.32	-1.931%	16.23	16.25	16.57	16.50	16.70	16.19	49,977	8,230.93	股吧
sh600455	博通股份	　22.62	-0.08	-0.352%	22.62	22.65	22.70	22.70	22.79	22.58	4,552	1,032.04	股吧
sh600476	湘邮科技	　13.55	+0.05	+0.370%	13.54	13.55	13.50	13.64	13.82	13.43	20,261	2,752.74	股吧
sh600536	中国软件	↓78.67	-3.15	-3.850%	78.68	78.70	81.82	81.50	81.80	78.60	95,506	76,386.10	股吧
sh600570	恒生电子	↑102.32	-1.40	-1.350%	102.30	102.32	103.72	104.00	105.80	101.88	65,385	67,949.14	股吧
sh600571	信雅达	　8.19	-0.21	-2.500%	8.19	8.20	8.40	8.40	8.43	8.17	33,808	2,797.48	股吧
sh600588	用友网络	↑36.34	-1.52	-4.015%	36.31	36.34	37.86	37.86	38.18	36.16	133,401	49,514.18	股吧
sh600590	泰豪科技	　5.32	-0.08	-1.481%	5.32	5.33	5.40	5.39	5.41	5.32	27,891	1,497.06	股吧
sh600601	方正科技	　3.37	-0.11	-3.161%	3.37	3.38	3.48	3.46	3.53	3.37	144,340	4,939.63	股吧
sh600602	云赛智联	↑7.39	-0.12	-1.598%	7.37	7.39	7.51	7.52	7.63	7.35	65,847	4,926.58	股吧
sh600654	ST中安	　1.73	-0.04	-2.260%	1.72	1.73	1.77	1.76	1.79	1.72	25,979	454.87	股吧
sh600680	*ST上普	　7.69	0.00	0.000%	0.00	0.00	7.69	0.00	0.00	0.00	0	0.00	股吧
sh600701	*ST工新	　1.17	0.00	0.000%	0.00	0.00	1.17	0.00	0.00	0.00	0	0.00	股吧
sh600718	东软集团	　10.70	-0.09	-0.834%	10.69	10.70	10.79	10.72	10.89	10.70	40,520	4,364.15	股吧
sh600728	佳都科技	　9.50	+0.12	+1.279%	9.50	9.51	9.38	9.45	9.77	9.31	434,992	41,690.58	股吧
sh600756	浪潮软件	↓17.88	-0.75	-4.026%	17.87	17.88	18.63	18.49	18.54	17.88	31,405	5,722.01	股吧
sh600764	中国海防	　26.71	-0.12	-0.447%	26.68	26.73	26.83	26.83	27.07	26.61	8,547	2,295.05	股吧
sh600797	浙大网新	　8.22	-0.01	-0.122%	8.21	8.22	8.22	8.21	8.35	8.16	59,177	4,890.50	股吧
sh600800	天津磁卡	　4.60	-0.10	-2.128%	4.59	4.60	4.70	4.65	4.70	4.58	23,603	1,094.95	股吧
sh600845	宝信软件	↑54.29	-0.62	-1.129%	54.21	54.29	54.91	55.15	55.93	53.61	41,006	22,451.22	股吧
sh600850	华东电脑	　22.32	-0.40	-1.761%	22.32	22.33	22.72	22.73	22.90	22.28	32,845	7,387.64	股吧
sh600855	航天长峰	↓16.22	-0.73	-4.307%	16.22	16.23	16.95	16.51	16.85	16.20	144,102	23,773.74	股吧
sh601313	江南嘉捷	　63.24	0.00	0.000%	0.00	0.00	63.24	0.00	0.00	0.00	0	0.00	股吧
sh601360	三六零	↓17.54	-0.59	-3.254%	17.54	17.56	18.13	18.00	18.01	17.51	149,467	26,509.65	股吧
sh601519	大智慧	↑7.07	-0.03	-0.423%	7.06	7.07	7.10	7.10	7.19	7.04	83,622	5,948.20	股吧
sh603019	中科曙光	↓37.39	-0.79	-2.069%	37.39	37.40	38.18	38.30	38.73	37.30	223,569	85,152.71	股吧
sh603039	泛微网络	　59.89	-2.11	-3.403%	59.87	59.96	62.00	61.81	62.29	59.33	5,170	3,133.13	股吧
sh603106	恒银金融	　8.21	-0.19	-2.262%	8.21	8.22	8.40	8.35	8.45	8.15	75,487	6,245.06	股吧
sh603138	海量数据	　19.56	-0.50	-2.493%	19.55	19.57	20.06	19.90	20.58	19.54	25,474	5,112.66	股吧
sh603189	网达软件	　21.15	-0.50	-2.309%	21.15	21.18	21.65	21.59	21.87	21.11	21,819	4,691.52	股吧
sh603232	格尔软件	　37.59	-1.07	-2.768%	37.58	37.59	38.66	38.66	38.97	37.30	12,011	4,599.97	股吧
sh603383	顶点软件	　52.42	+0.13	+0.249%	52.35	52.42	52.29	52.47	53.98	52.05	6,227	3,311.57	股吧
sh603496	恒为科技	↑22.96	-0.52	-2.215%	22.92	22.96	23.48	23.67	23.78	22.86	17,554	4,093.13	股吧
sh603508	思维列控	　46.86	-2.13	-4.348%	46.85	46.86	48.99	48.80	48.81	46.80	15,030	7,166.75	股吧
sh603516	淳中科技	　36.57	-1.43	-3.763%	36.57	36.60	38.00	38.50	38.60	36.50	17,079	6,339.20	股吧
sh603528	多伦科技	　8.15	-0.06	-0.731%	8.15	8.17	8.21	8.20	8.41	8.09	30,509	2,523.97	股吧
sh603636	南威软件	　11.69	-0.19	-1.599%	11.69	11.70	11.88	11.88	12.06	11.67	63,159	7,505.92	股吧
